iter	Passed	Remaining
0	2	292
1	5	288
2	10	335
3	13	315
4	15	302
5	18	289
6	20	277
7	25	291
8	27	280
9	30	275
10	32	265
11	35	258
12	38	254
13	41	253
14	43	246
15	45	241
16	48	236
17	51	232
18	54	233
19	57	228
20	59	223
21	62	221
22	64	216
23	67	212
24	71	215
25	74	211
26	76	207
27	79	204
28	82	202
29	85	200
30	88	196
31	90	192
32	93	188
33	95	184
34	98	182
35	100	179
36	102	175
37	105	171
38	107	167
39	109	164
40	113	163
41	116	161
42	119	158
43	120	153
44	123	150
45	125	147
46	130	147
47	132	144
48	135	140
49	137	137
50	139	134
51	143	132
52	146	129
53	148	126
54	150	123
55	153	120
56	156	117
57	160	116
58	162	113
59	165	110
60	167	107
61	169	104
62	174	102
63	176	99
64	179	96
65	181	93
66	183	90
67	186	87
68	189	85
69	191	82
70	194	79
71	196	76
72	198	73
73	203	71
74	205	68
75	207	65
76	210	62
77	212	59
78	213	56
79	217	54
80	220	51
81	222	48
82	224	46
83	227	43
84	229	40
85	234	38
86	236	35
87	239	32
88	241	29
89	243	27
90	248	24
91	251	21
92	253	19
93	256	16
94	258	13
95	262	10
96	265	8
97	267	5
98	269	2
99	272	0
