iter	Passed	Remaining
0	113	113568
1	116	58191
2	119	39833
3	124	30940
4	127	25391
5	130	21618
6	133	18939
7	138	17182
8	141	15595
9	144	14309
10	147	13219
11	149	12347
12	153	11668
13	157	11099
14	160	10544
15	163	10048
16	167	9665
17	171	9343
18	174	8988
19	176	8660
20	179	8375
21	184	8194
22	187	7944
23	189	7712
24	192	7496
25	194	7300
26	197	7130
27	201	6991
28	204	6848
29	207	6699
30	210	6566
31	214	6473
32	216	6358
33	220	6253
34	222	6144
35	225	6037
36	229	5975
37	232	5880
38	235	5813
39	239	5742
40	243	5687
41	245	5609
42	248	5532
43	251	5454
44	253	5381
45	257	5335
46	262	5315
47	266	5281
48	270	5258
49	275	5240
50	279	5198
51	282	5150
52	285	5100
53	290	5087
54	293	5046
55	296	4994
56	298	4943
57	301	4894
58	305	4871
59	308	4828
60	311	4795
61	314	4760
62	319	4746
63	322	4712
64	324	4673
65	327	4635
66	330	4597
67	333	4573
68	337	4553
69	340	4519
70	342	4484
71	345	4448
72	349	4441
73	353	4428
74	356	4401
75	360	4381
76	364	4375
77	367	4349
78	370	4320
79	373	4289
80	375	4262
81	379	4243
82	380	4208
83	383	4183
84	386	4157
85	388	4132
86	391	4107
87	395	4099
88	398	4080
89	402	4068
90	405	4047
91	408	4030
92	411	4014
93	414	3991
94	416	3969
95	419	3947
96	421	3927
97	425	3911
98	427	3891
99	430	3871
100	432	3850
101	435	3831
102	437	3811
103	440	3792
104	442	3773
105	445	3754
106	447	3737
107	450	3718
108	452	3700
109	455	3684
110	458	3670
111	460	3653
112	463	3636
113	465	3619
114	468	3604
115	471	3593
116	473	3572
117	475	3557
118	478	3543
119	481	3529
120	484	3517
121	486	3501
122	489	3487
123	491	3472
124	494	3458
125	496	3446
126	498	3428
127	501	3416
128	504	3406
129	507	3393
130	509	3380
131	511	3366
132	514	3354
133	517	3345
134	520	3334
135	523	3323
136	526	3314
137	528	3303
138	531	3293
139	534	3283
140	537	3272
141	538	3255
142	541	3244
143	544	3234
144	546	3223
145	549	3212
146	551	3202
147	554	3191
148	557	3181
149	559	3172
150	562	3164
151	565	3155
152	568	3145
153	570	3135
154	573	3125
155	576	3120
156	579	3110
157	581	3100
158	584	3090
159	587	3081
160	588	3067
161	591	3060
162	594	3053
163	597	3044
164	599	3035
165	602	3026
166	605	3018
167	609	3018
168	612	3011
169	616	3008
170	619	3002
171	623	3002
172	626	2995
173	629	2987
174	631	2977
175	634	2971
176	640	2976
177	643	2970
178	645	2962
179	648	2953
180	652	2953
181	656	2951
182	659	2944
183	662	2936
184	664	2928
185	668	2927
186	673	2926
187	676	2920
188	679	2914
189	682	2910
190	686	2906
191	689	2901
192	692	2896
193	695	2890
194	700	2891
195	703	2884
196	705	2876
197	708	2869
198	711	2865
199	715	2862
200	719	2859
201	722	2852
202	724	2845
203	728	2842
204	731	2838
205	734	2832
206	737	2824
207	739	2817
208	743	2813
209	746	2807
210	748	2800
211	751	2792
212	754	2787
213	757	2783
214	760	2777
215	763	2772
216	766	2766
217	769	2760
218	773	2760
219	777	2755
220	779	2748
221	782	2741
222	784	2734
223	787	2729
224	790	2723
225	793	2716
226	795	2709
227	798	2702
228	800	2695
229	804	2692
230	806	2685
231	809	2678
232	811	2672
233	814	2666
234	817	2659
235	820	2656
236	823	2650
237	825	2644
238	828	2638
239	831	2631
240	834	2627
241	836	2621
242	839	2614
243	841	2608
244	844	2602
245	847	2598
246	851	2594
247	853	2588
248	856	2582
249	859	2577
250	861	2570
251	865	2568
252	867	2562
253	870	2556
254	872	2550
255	875	2544
256	878	2538
257	881	2534
258	883	2528
259	886	2522
260	889	2517
261	891	2511
262	895	2508
263	898	2504
264	900	2498
265	903	2493
266	906	2488
267	909	2483
268	912	2479
269	915	2473
270	917	2468
271	920	2463
272	922	2457
273	926	2454
274	929	2450
275	931	2444
276	934	2439
277	937	2433
278	940	2429
279	943	2425
280	945	2420
281	948	2414
282	950	2409
283	953	2404
284	957	2402
285	960	2397
286	963	2392
287	965	2388
288	969	2384
289	972	2381
290	975	2376
291	977	2371
292	980	2365
293	983	2360
294	986	2357
295	989	2354
296	992	2349
297	995	2344
298	998	2340
299	1003	2341
300	1006	2336
301	1009	2333
302	1012	2328
303	1015	2325
304	1018	2321
305	1021	2316
306	1025	2314
307	1028	2311
308	1032	2308
309	1035	2305
310	1038	2300
311	1040	2295
312	1043	2290
313	1046	2286
314	1050	2284
315	1053	2280
316	1056	2276
317	1059	2271
318	1063	2270
319	1067	2268
320	1070	2264
321	1073	2260
322	1077	2258
323	1081	2255
324	1083	2251
325	1086	2247
326	1090	2244
327	1095	2243
328	1097	2239
329	1100	2233
330	1102	2229
331	1106	2226
332	1110	2224
333	1113	2219
334	1115	2215
335	1118	2210
336	1122	2208
337	1125	2204
338	1128	2200
339	1131	2195
340	1134	2192
341	1137	2189
342	1141	2186
343	1144	2183
344	1147	2179
345	1150	2175
346	1154	2171
347	1156	2166
348	1159	2162
349	1161	2157
350	1164	2152
351	1167	2149
352	1170	2146
353	1173	2141
354	1176	2136
355	1179	2133
356	1182	2129
357	1184	2124
358	1187	2120
359	1192	2120
360	1195	2116
361	1198	2112
362	1201	2108
363	1204	2104
364	1207	2100
365	1210	2096
366	1214	2094
367	1217	2091
368	1220	2086
369	1223	2082
370	1226	2078
371	1229	2076
372	1232	2071
373	1235	2067
374	1237	2062
375	1240	2058
376	1243	2055
377	1246	2051
378	1249	2046
379	1251	2042
380	1254	2037
381	1256	2033
382	1259	2029
383	1262	2025
384	1265	2021
385	1268	2017
386	1270	2012
387	1273	2008
388	1276	2004
389	1278	2000
390	1281	1995
391	1283	1991
392	1286	1986
393	1289	1982
394	1291	1978
395	1294	1974
396	1296	1969
397	1299	1965
398	1302	1962
399	1306	1959
400	1308	1954
401	1311	1950
402	1313	1946
403	1316	1942
404	1320	1939
405	1322	1935
406	1325	1931
407	1327	1926
408	1330	1922
409	1332	1917
410	1335	1914
411	1338	1910
412	1341	1906
413	1343	1902
414	1346	1897
415	1348	1893
416	1352	1890
417	1354	1886
418	1357	1881
419	1359	1877
420	1362	1873
421	1364	1868
422	1367	1865
423	1369	1861
424	1372	1856
425	1374	1852
426	1377	1848
427	1380	1845
428	1383	1841
429	1386	1837
430	1388	1833
431	1391	1829
432	1393	1825
433	1396	1821
434	1399	1817
435	1401	1813
436	1404	1809
437	1407	1805
438	1409	1801
439	1414	1799
440	1416	1795
441	1419	1791
442	1422	1788
443	1424	1784
444	1427	1780
445	1430	1776
446	1434	1775
447	1438	1772
448	1441	1769
449	1444	1766
450	1447	1762
451	1451	1759
452	1455	1756
453	1458	1753
454	1460	1749
455	1463	1746
456	1467	1743
457	1471	1741
458	1474	1737
459	1477	1733
460	1479	1730
461	1483	1727
462	1486	1724
463	1490	1722
464	1493	1718
465	1496	1714
466	1500	1712
467	1504	1709
468	1507	1706
469	1509	1702
470	1511	1697
471	1515	1695
472	1519	1693
473	1522	1688
474	1524	1684
475	1527	1681
476	1529	1677
477	1533	1674
478	1537	1671
479	1540	1668
480	1542	1664
481	1545	1661
482	1549	1659
483	1552	1655
484	1555	1651
485	1557	1647
486	1560	1643
487	1564	1641
488	1567	1638
489	1570	1634
490	1573	1630
491	1575	1626
492	1579	1624
493	1581	1620
494	1584	1616
495	1586	1612
496	1589	1608
497	1591	1604
498	1595	1601
499	1597	1597
500	1600	1593
501	1602	1590
502	1605	1586
503	1608	1582
504	1611	1579
505	1613	1575
506	1616	1571
507	1618	1567
508	1621	1563
509	1624	1560
510	1627	1557
511	1629	1553
512	1632	1549
513	1635	1546
514	1637	1542
515	1640	1539
516	1643	1535
517	1645	1531
518	1648	1527
519	1650	1523
520	1653	1520
521	1656	1517
522	1659	1513
523	1661	1509
524	1664	1505
525	1666	1501
526	1669	1498
527	1672	1495
528	1675	1491
529	1677	1487
530	1680	1484
531	1682	1480
532	1686	1477
533	1689	1474
534	1691	1470
535	1693	1466
536	1696	1462
537	1698	1458
538	1702	1455
539	1704	1452
540	1707	1448
541	1709	1444
542	1712	1440
543	1714	1437
544	1718	1434
545	1720	1430
546	1723	1427
547	1726	1423
548	1728	1420
549	1731	1416
550	1734	1413
551	1737	1409
552	1739	1406
553	1742	1402
554	1744	1398
555	1748	1396
556	1750	1392
557	1753	1388
558	1755	1385
559	1758	1381
560	1760	1377
561	1763	1374
562	1766	1371
563	1768	1367
564	1771	1363
565	1773	1360
566	1776	1356
567	1779	1353
568	1782	1350
569	1784	1346
570	1787	1342
571	1790	1339
572	1793	1336
573	1795	1332
574	1798	1329
575	1800	1325
576	1803	1321
577	1805	1318
578	1809	1315
579	1811	1311
580	1814	1308
581	1816	1304
582	1819	1301
583	1822	1298
584	1825	1295
585	1828	1291
586	1830	1288
587	1833	1284
588	1836	1281
589	1839	1278
590	1843	1275
591	1846	1272
592	1848	1268
593	1851	1265
594	1856	1263
595	1859	1260
596	1862	1257
597	1864	1253
598	1868	1250
599	1872	1248
600	1875	1245
601	1878	1242
602	1881	1238
603	1884	1235
604	1888	1232
605	1890	1229
606	1892	1225
607	1895	1222
608	1900	1219
609	1903	1216
610	1906	1213
611	1909	1210
612	1912	1207
613	1916	1205
614	1919	1201
615	1922	1198
616	1925	1195
617	1929	1192
618	1932	1189
619	1935	1186
620	1938	1182
621	1940	1179
622	1943	1176
623	1946	1172
624	1948	1169
625	1951	1165
626	1954	1162
627	1956	1158
628	1959	1155
629	1964	1153
630	1966	1150
631	1969	1146
632	1973	1144
633	1976	1141
634	1980	1138
635	1982	1134
636	1985	1131
637	1987	1127
